"Category","1.AA.5.A Other Stationary"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","","","","","","","","","","","","","","","","","","","","","","","",""
"Belarus","0.70","0.70","0.62","0.60","0.61","0.65","0.60","0.78","0.65","0.66","0.64","0.79","0.76","0.56","0.58","0.60","0.61","0.63","0.63","0.52","0.57","0.68","0.62","0.41"
"Belgium","","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgaria","17.80","0.09","0.15","0.23","0.30","0.21","0.27","0.30","0.18","0.14","0.19","0.04","0.08","0.06","","0.04","","","","","","","",""
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","","","","","","","","","","","","","","","0.43","0.21","0.01","0.13","0.03","","0.03","0.09","0.06","0.06"
"Denmark","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","","","","","","","","","","","","","","","","","","","","","","","",""
"European Union (15)","6.97","6.97","5.54","4.47","3.35","2.67","2.41","2.41","2.15","2.23","2.08","2.12","2.06","2.01","2.03","1.79","1.76","1.75","1.61","1.62","1.57","1.71","1.49","1.55"
"European Union (28)","10.99","10.99","10.25","6.59","4.36","3.75","3.68","3.57","2.68","3.51","2.75","7.27","7.96","7.33","7.83","8.95","8.98","6.81","7.16","7.45","5.63","5.68","5.63","3.89"
"Finland","1.46","1.46","1.15","1.20","1.17","1.34","1.49","1.52","1.45","1.60","1.49","1.58","1.53","1.52","1.56","1.36","1.35","1.33","1.29","1.32","1.27","1.39","1.24","1.28"
"France","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","5.49","5.49","4.37","3.25","2.18","1.33","0.92","0.89","0.70","0.63","0.59","0.54","0.53","0.49","0.47","0.43","0.42","0.41","0.32","0.30","0.30","0.32","0.26","0.27"
"Greece","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","","","","","","","","","","","","","","","","","","","","","","","",""
"Iceland","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","","","","","","","","","","","","","","","","","","","","","","","",""
"Japan","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","","","","","","","","","","","","","","","","","","","","","","","",""
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","","","","","","","","","","","","","","","","","","","","","","","",""
"New Zealand","","","","","","","","","","","","","","","","","","","","","","","",""
"Norway","0.05","0.05","0.04","0.05","0.03","0.04","0.04","0.05","0.06","0.04","0.04","0.03","0.04","0.03","0.05","0.04","0.03","0.03","0.03","0.03","0.04","0.05","0.04","0.04"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","0.02","0.02","0.01","0.01","0.00","0.00","","","","","","","","","","","","","","","","","",""
"Romania","3.85","3.93","4.56","1.88","0.71","0.88","0.99","0.86","0.34","1.14","0.48","0.42","1.33","1.32","1.43","1.71","2.74","1.77","2.19","1.94","1.11","1.14","1.13","1.16"
"Russian Federation","1,511.16","1,511.16","1,428.86","175.92","221.59","131.90","185.61","240.85","226.34","78.17","119.80","90.90","101.35","104.03","121.13","118.21","127.67","141.08","108.94","126.27","100.89","98.44","101.62","133.26"
"Slovakia","","","","","","","","","","","","4.69","4.50","3.94","3.94","5.20","4.46","3.16","3.33","3.88","2.92","2.74","2.94","1.12"
"Slovenia","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","","","","","","","","","","","","","","","","","","","","","","","",""
"Sweden","","","","","","","","","","","","","","","","","","","","","","","",""
"Switzerland","","","","","","","","","","","","","","","","","","","","","","","",""
"Turkey","","","","","","","","","","","","","","","","","","","","","","","",""
"Ukraine","","","","","","","","","","7.55","7.87","6.35","5.97","3.59","3.76","3.64","3.41","3.79","3.60","3.28","2.23","2.58","1.14","1.09"
"United Kingdom of Great Britain and Northern Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"United States of America","82.08","82.08","85.25","85.99","106.81","99.66","88.47","134.81","139.46","145.38","143.02","114.00","114.50","97.51","107.75","117.99","128.20","113.94","99.68","85.42","81.40","77.38","73.35","73.35"
