"Category","1.B.2.C Venting and Flaring"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","1.93","1.93","1.78","1.80","1.70","1.53","1.60","1.64","1.43","2.21","1.20","1.42","1.51","1.29","1.12","1.17","1.09","1.14","1.30","1.32","14.37","15.04","12.28","16.60"
"Austria","","","","","","","","","","","","","","","","","","","","","","","",""
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","0.05","0.05","0.04","0.04","0.03","0.03","0.03","0.02","0.03","0.09","0.09","0.09","0.06","0.05","0.05","0.05","0.05","0.05","0.04","0.05","0.05","0.05","0.04","0.04"
"Bulgaria","","","","","","","","","","","","","","","","","","","","","","","",""
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","0.23","0.23","0.21","0.32","0.19","0.16","0.12","0.12","0.03","0.03","0.16","0.02","0.02","0.02","0.01","0.02","0.02","0.03","0.03","0.03","0.03","0.01","0.01","0.01"
"Cyprus","0.04","0.04","0.04","0.04","0.05","0.05","0.05","0.05","0.07","0.07","0.07","0.07","0.07","0.07","0.06","0.02","","","","","","","",""
"Czech Republic","","","","","","","","","","","","","","","","","","0.19","0.25","","","0.05","0.54","0.31"
"Denmark","0.15","0.15","0.29","0.30","0.26","0.46","0.20","0.22","0.31","0.23","0.49","0.32","0.34","0.29","0.30","0.34","0.26","0.25","0.26","0.19","0.13","0.17","0.12","0.12"
"Estonia","","","","","","","","","","","","","","","","","","","","","","","",""
"European Union (15)","14.72","14.72","13.44","12.05","15.40","12.31","11.12","11.47","10.81","10.16","9.78","8.32","8.44","8.38","7.05","6.98","6.61","6.53","6.52","5.97","5.92","6.22","5.84","6.65"
"European Union (28)","15.01","15.01","13.69","12.42","15.64","12.51","11.29","11.63","10.90","10.26","10.02","8.42","8.54","8.47","7.13","7.02","6.63","6.74","6.79","6.00","5.95","6.28","6.39","6.96"
"Finland","0.21","0.21","0.21","0.04","0.05","0.02","0.03","0.03","0.06","0.03","0.02","0.03","0.02","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.02","0.03","0.05","0.05"
"France","0.44","0.44","0.46","0.44","0.46","0.44","0.47","0.42","0.43","0.43","0.39","0.37","0.42","0.38","0.37","0.38","0.43","0.51","0.41","0.38","0.57","0.58","0.30","0.31"
"Germany","7.08","7.08","6.48","5.81","6.16","5.82","4.22","4.10","3.75","3.35","2.76","2.31","1.81","1.33","0.88","0.40","0.41","0.41","0.39","0.38","0.36","0.34","0.33","0.34"
"Greece","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","","","","","","","","","","","","","","","","","","","","","","","",""
"Iceland","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","","","","","","","","","","","","","","","","","","","","","","","",""
"Japan","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","","","","","","","","","","","","","","","","","","","","","","","",""
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","0.02","0.02","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","","","","","","","","","","","","","","","","","","","","","","","",""
"New Zealand","","","","","","","","","","","","","","","","","","","","","","","",""
"Norway","1.09","1.09","0.76","0.80","0.97","1.03","1.08","1.40","1.27","1.15","1.34","1.28","1.40","1.16","0.79","0.83","0.89","0.96","1.43","1.19","0.92","1.30","0.92","0.88"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","0.03","0.03","0.03","0.04","0.05","0.06","0.05","0.04","0.06","0.05","0.03","0.02","0.03","0.03","0.02","0.02","0.03","0.04","0.04","0.03","0.03","0.02","0.04","0.06"
"Romania","","","","","","","","","","","","","","","","","","","","","","","",""
"Russian Federation","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","4.10","4.10","3.32","2.76","5.77","2.88","2.93","3.41","3.04","2.99","2.92","2.82","3.20","3.39","3.35","3.62","3.07","3.15","3.01","3.03","2.76","2.86","2.86","3.97"
"Sweden","0.09","0.09","0.06","0.07","0.07","0.06","0.07","0.03","0.05","0.06","0.05","0.10","0.07","0.08","0.06","0.06","0.07","0.10","0.08","0.05","0.06","0.06","0.06","0.06"
"Switzerland","0.13","0.13","0.20","0.19","0.20","0.21","0.20","0.23","0.21","0.22","0.22","0.20","0.21","0.21","0.20","0.22","0.21","0.24","0.20","0.22","0.21","0.19","0.19","0.15"
"Turkey","","","","","","","","","","","","","","","","","","","","","","","",""
"Ukraine","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom of Great Britain and Northern Ireland","2.58","2.58","2.55","2.55","2.55","2.53","3.12","3.18","3.09","2.94","3.04","2.25","2.49","2.80","1.99","2.08","2.27","2.00","2.25","1.84","1.94","2.11","2.05","1.71"
"United States of America","","","","","","","","","","","","","","","","","","","","","","","",""
