"Category","2.A.7.1 Glass Production"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","","","","","","","","","","","","","","","","","","","","","","","",""
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgaria","","","","","","","","","","","","","","","","","","","","","","","",""
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","1.40","1.40","6.36","6.28","6.28","6.58","8.60","8.60","8.60","3.03","12.23","8.69","1.61","0.05","0.06","0.07","0.04","0.08","0.39","0.08","0.13","0.13","0.28","0.15"
"Denmark","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","","","","","","","","","","","","","","","","","","","","","","","",""
"European Union (15)","32.74","32.74","31.39","27.98","23.85","21.97","19.27","17.69","17.27","15.96","14.33","13.48","13.52","12.82","12.85","12.92","12.87","13.76","13.96","13.22","11.48","11.66","11.69","11.16"
"European Union (28)","34.14","34.14","37.75","34.26","30.13","28.55","27.87","26.28","25.87","18.99","26.56","22.16","15.13","12.86","12.91","12.99","12.91","13.84","14.35","13.30","11.61","11.79","11.97","11.30"
"Finland","","","","","","","","","","","","","","","","","","","","","","","",""
"France","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","30.90","30.90","29.89","26.46","22.40","20.49","17.71","16.33","15.65","14.28","13.65","12.54","12.49","12.34","12.37","12.45","12.39","13.28","13.47","12.73","11.00","11.18","11.21","10.70"
"Greece","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","","","","","","","","","","","","","","","","","","","","","","","",""
"Iceland","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","","","","","","","","","","","","","","","","","","","","","","","",""
"Japan","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","","","","","","","","","","","","","","","","","","","","","","","",""
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","1.12","1.12","1.00","0.88","0.76","0.64","0.52","0.52","0.52","0.52","0.01","0.46","0.56","","","","","","","","","","",""
"New Zealand","","","","","","","","","","","","","","","","","","","","","","","",""
"Norway","0.08","0.08","0.08","0.08","0.08","0.08","0.09","0.09","0.08","0.06","0.05","0.03","0.03","0.04","0.03","0.03","0.03","0.04","0.05","0.04","0.03","0.04","0.04","0.07"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","","","","","","","","","","","","","","","","","","","","","","","",""
"Romania","","","","","","","","","","","","","","","","","","","","","","","",""
"Russian Federation","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","","","","","","","","","","","","","","","","","","","","","","","",""
"Sweden","0.72","0.72","0.50","0.64","0.69","0.84","1.04","0.84","1.10","1.16","0.67","0.48","0.47","0.48","0.49","0.47","0.48","0.48","0.49","0.49","0.48","0.47","0.48","0.46"
"Switzerland","","","","","","","","","","","","","","","","","","","","","","","",""
"Turkey","8.72","8.72","8.54","5.29","5.50","5.41","8.04","9.29","10.53","10.94","9.89","12.05","11.81","9.34","10.64","10.45","12.64","12.18","13.04","13.48","9.80","18.48","20.72","22.47"
"Ukraine","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom of Great Britain and Northern Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"United States of America","","","","","","","","","","","","","","","","","","","","","","","",""
