"Category","2.B.2 Nitric Acid Production"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","","","","","0.69","0.63","0.35","0.36","0.34","0.36","0.37","0.41","0.38","0.37","0.38","0.28","0.24","0.17","0.14","0.11","0.10","0.14","0.12","0.12"
"Belarus","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Belgium","4.34","4.34","3.42","2.46","2.51","5.89","2.86","2.87","1.83","2.59","5.73","1.80","1.95","2.77","2.43","2.43","2.66","2.55","2.42","1.00","0.77","0.93","0.98","0.92"
"Bulgaria","13.23","12.13","8.74","7.12","6.09","7.19","10.33","10.55","8.12","5.21","3.94","7.07","6.97","5.03","6.23","7.15","7.68","6.49","7.03","6.66","4.11","5.48","7.86","5.60"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","0.90","0.90","0.79","1.03","0.78","0.84","0.81","0.76","0.79","0.53","0.64","0.96","0.74","0.70","0.61","1.06","0.73","0.56","0.59","0.59","0.48","0.54","0.22","0.18"
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","0.21","0.21","0.16","0.20","0.20","0.20","0.22","0.22","0.22","0.27","0.22","0.20","0.02","0.03","0.04","0.02","0.01","0.24","0.22","0.23","0.20","0.23","0.21","0.23"
"Denmark","0.81","0.81","0.74","0.66","0.58","0.60","0.61","0.50","0.57","0.42","0.45","0.41","0.41","0.40","0.46","0.27","","","","","","","",""
"Estonia","","","","","","","","","","","","","","","","","","","","","","","",""
"European Union (15)","61.71","61.71","52.18","45.40","39.56","39.92","34.79","35.25","33.44","32.91","36.56","33.86","30.91","32.34","31.89","34.33","34.20","34.62","36.35","30.90","26.17","28.76","28.29","28.09"
"European Union (28)","96.23","96.23","74.67","66.55","59.95","63.17","60.98","59.20","51.59","46.19","48.24","50.70","46.71","45.26","42.86","47.40","47.92","45.68","48.30","42.97","34.08","40.40","42.06","38.42"
"Finland","","","","","","","","","","","","","","","","","","","","","","","",""
"France","14.98","14.98","12.41","9.42","6.41","5.73","5.28","5.81","5.48","5.35","5.30","5.60","4.88","3.70","3.53","3.29","3.26","2.81","3.19","1.92","1.34","1.08","1.06","1.08"
"Germany","16.98","16.98","15.60","14.76","14.76","14.59","16.25","16.60","16.33","16.31","16.86","18.28","17.22","20.10","21.36","24.90","25.30","26.81","28.64","26.17","22.47","25.13","24.73","24.77"
"Greece","0.83","0.83","0.67","0.59","0.83","0.80","0.69","0.76","0.65","0.48","0.60","0.60","0.47","0.59","0.52","0.42","0.33","0.25","0.26","0.30","0.25","0.28","0.33","0.21"
"Hungary","10.13","7.32","3.77","2.11","3.10","4.60","3.10","4.17","3.63","2.68","2.09","2.48","2.34","1.28","1.08","1.13","0.93","0.51","0.14","0.02","0.01","0.01","0.01","0.01"
"Iceland","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","0.96","0.96","1.67","1.82","0.96","0.28","0.28","0.28","0.28","0.28","0.28","0.30","0.37","0.19","","","","","","","","","",""
"Italy","3.46","3.46","2.56","2.25","1.59","1.01","1.12","0.98","0.95","0.77","0.65","0.78","0.68","0.69","0.53","0.65","0.53","0.47","0.40","0.40","0.33","0.23","0.36","0.33"
"Japan","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","","","","","","","","","","","","","","","","","","","","","","","",""
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","0.36","0.36","0.37","0.27","0.29","0.22","0.25","0.34","0.38","0.49","0.51","0.60","0.67","0.72","0.74","0.81","0.92","0.92","1.19","1.11","0.90","0.94","1.21","1.20"
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","2.82","2.82","2.64","2.46","2.28","2.10","1.80","1.69","1.57","1.43","0.94","0.74","0.79","0.81","","","","","","","","","",""
"New Zealand","","","","","","","","","","","","","","","","","","","","","","","",""
"Norway","2.40","2.40","1.60","1.00","1.23","1.50","1.30","1.30","1.12","1.15","1.14","1.41","1.33","1.17","1.35","1.34","1.37","1.34","1.10","0.89","0.71","0.98","1.10","1.15"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","0.25","0.25","0.25","0.22","0.16","0.14","0.20","0.21","0.23","0.27","0.25","0.26","0.26","0.24","0.26","0.29","0.26","0.27","0.27","0.21","0.16","0.21","0.13","0.12"
"Romania","14.68","9.30","5.43","7.49","7.48","6.33","7.23","7.67","4.78","3.88","4.10","5.32","4.88","4.98","2.07","2.67","3.19","2.08","2.54","3.24","1.94","4.12","3.88","2.79"
"Russian Federation","3.31","3.31","3.40","2.84","2.29","1.85","2.11","2.31","2.07","1.78","1.97","2.35","2.51","2.92","2.78","2.96","3.21","3.22","3.40","3.05","3.92","4.05","4.21","4.12"
"Slovakia","4.31","4.31","3.22","2.93","2.46","3.87","4.25","0.24","0.23","0.21","0.19","0.20","0.20","0.19","0.19","0.23","0.27","0.25","0.23","0.22","0.29","0.33","0.37","0.33"
"Slovenia","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","7.03","7.03","3.77","3.26","2.04","2.46","2.61","2.68","2.44","2.14","2.28","2.06","1.96","1.58","1.42","0.71","0.71","0.43","0.24","0.28","0.32","0.30","0.25","0.19"
"Sweden","1.15","1.15","1.18","1.05","1.08","0.87","0.80","0.69","0.63","0.60","0.61","0.62","0.44","0.26","0.27","0.33","0.25","0.24","0.17","0.19","0.17","0.19","0.21","0.21"
"Switzerland","0.08","0.08","0.08","0.07","0.06","0.07","0.07","0.07","0.06","0.07","0.07","0.07","0.08","0.08","0.07","0.07","0.06","0.07","0.07","0.08","0.07","0.07","0.07","0.07"
"Turkey","0.26","0.26","2.24","5.89","5.88","2.02","10.37","9.63","6.88","8.56","8.91","8.74","7.08","8.14","7.67","7.87","3.59","6.17","","","","","",""
"Ukraine","40.50","40.50","35.80","31.10","26.41","21.71","17.01","20.16","22.06","17.97","19.42","21.78","21.10","25.72","25.89","22.24","26.36","26.42","34.42","31.82","21.80","26.98","34.74","35.05"
"United Kingdom of Great Britain and Northern Ireland","8.10","8.10","7.28","6.46","5.64","4.82","1.94","1.81","2.12","1.91","2.23","2.01","1.09","0.64","0.74","0.75","0.65","0.62","0.61","0.30","0.25","0.27","0.13","0.14"
"United States of America","","","","","","","","","","","","","","","","","","","","","","","",""
