"Category","2.D Other Production"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","0.55","0.55","0.58","0.57","0.55","0.57","0.59","0.59","0.67","0.66","0.66","0.74","0.82","0.88","0.56","0.61","1.07","1.26","1.26","1.06","0.88","0.97","1.01","0.83"
"Belarus","0.33","0.33","0.31","0.22","0.17","0.16","0.16","0.17","0.20","0.23","0.24","0.26","0.25","0.25","0.26","0.28","0.32","0.34","0.38","0.39","0.30","0.36","0.36","0.37"
"Belgium","0.01","0.01","0.01","0.01","0.18","0.17","1.20","1.20","0.27","1.28","0.27","0.36","0.49","0.18","0.31","0.35","0.33","0.38","0.39","0.33","0.57","0.72","0.56","0.53"
"Bulgaria","1.33","0.92","0.55","0.46","0.49","0.52","0.65","0.59","0.55","0.40","0.31","0.13","0.14","0.13","0.19","0.10","0.18","0.18","0.19","0.20","0.06","0.23","0.36","0.76"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","0.07","0.07","0.04","0.03","0.04","0.05","0.04","0.03","0.03","0.03","0.04","0.04","0.04","0.04","0.03","0.03","0.03","0.03","0.02","0.03","0.02","0.03","0.03","0.02"
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","0.40","0.40","0.41","0.43","0.43","0.45","0.47","0.47","0.47","0.98","0.50","0.43","0.12","1.34","1.09","0.14","0.02","0.93","0.90","0.02","0.00","0.00","",""
"Denmark","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","0.10","0.10","0.10","0.05","","","0.01","0.03","0.05","0.07","0.07","0.08","0.08","0.10","0.10","0.10","0.10","0.10","0.10","0.09","0.09","0.11","0.11","0.11"
"European Union (15)","15.62","15.62","15.86","15.18","15.50","15.70","17.11","16.93","16.91","17.19","16.63","17.65","17.76","17.94","18.04","18.69","19.57","20.74","20.98","20.11","19.98","20.59","20.80","20.30"
"European Union (28)","17.49","17.49","17.20","16.33","16.58","16.85","18.48","18.23","18.17","18.79","17.69","18.52","18.31","19.74","19.66","19.25","20.00","22.07","22.27","20.45","20.15","20.96","21.30","21.19"
"Finland","0.00","0.00","0.02","0.03","0.00","0.00","0.03","0.15","0.19","0.21","0.22","0.27","0.23","0.22","0.20","0.06","0.06","0.10","0.08","0.02","","","","0.01"
"France","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","","","","","","","","","","","","0.44","0.51","0.53","0.54","0.84","1.24","1.51","1.63","1.64","1.63","1.62","1.69","1.71"
"Greece","0.06","0.06","0.05","0.05","0.03","0.03","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.05","0.04","0.05","0.04","0.04","0.04","0.04","0.04","0.04","0.04"
"Hungary","","","","","","","","","","","","","","","","","","","","","","","",""
"Iceland","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","0.08","0.08","0.08","0.06","0.04","0.03","0.06","0.17","0.17","0.16","0.16","0.16","0.16","0.19","0.22","0.19","0.13","0.13","0.14","0.10","0.04","","",""
"Japan","1.21","1.21","0.71","0.67","0.81","0.86","0.65","0.67","0.69","0.67","0.29","0.29","0.30","0.30","0.30","0.29","0.29","0.29","0.29","0.29","0.29","0.29","0.29","0.29"
"Latvia","","","","","","","","","","","","","","","","","","","","","","","",""
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","","","","","","","","","","","","","","","","","","","","","","","",""
"New Zealand","","","","","","","","","","","","","","","","","","","","","","","",""
"Norway","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","2.64","2.64","2.88","2.87","2.75","2.85","3.01","2.91","3.16","3.15","3.25","3.27","3.33","3.56","3.62","3.80","3.88","4.02","4.08","3.94","4.25","4.30","4.56","4.69"
"Romania","0.58","0.38","0.24","0.17","0.13","0.13","0.19","0.18","0.15","0.13","0.14","0.19","0.17","0.20","0.21","0.19","0.10","0.08","0.09","0.00","","","",""
"Russian Federation","7.03","7.03","6.02","5.48","4.29","3.34","4.38","3.30","3.47","3.74","4.99","5.75","6.06","6.49","6.68","6.90","7.10","7.23","7.33","7.24","6.90","7.16","7.36","7.48"
"Slovakia","","","","","","","","","","","","0.00","","","","","","","","","","","",""
"Slovenia","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","1.83","1.83","1.87","1.64","1.50","1.54","1.74","1.67","1.76","1.85","1.93","2.00","1.98","2.02","2.17","2.21","2.22","2.31","2.38","2.33","2.39","2.60","2.74","2.75"
"Sweden","10.46","10.46","10.38","9.96","10.43","10.52","10.43","10.20","10.67","9.85","10.10","10.36","10.20","10.31","10.38","10.59","10.59","10.98","10.98","10.63","10.18","10.34","10.20","9.74"
"Switzerland","","","","","","","","","","","","","","","","","","","","","","","",""
"Turkey","0.43","0.43","0.36","0.40","0.30","0.38","0.38","0.34","0.44","0.46","0.38","0.39","0.29","0.29","0.08","0.15","0.14","0.21","0.22","","","","",""
"Ukraine","0.71","0.71","0.66","0.53","0.34","0.22","0.24","0.19","0.17","0.20","0.18","0.21","0.26","0.28","0.29","0.65","0.96","0.98","1.22","1.20","1.04","1.08","1.23","1.03"
"United Kingdom of Great Britain and Northern Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"United States of America","","","","","","","","","","","","","","","","","","","","","","","",""
