"Category","4.E Prescribed Burning of Savannas"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","298.92","298.92","309.56","272.21","271.56","325.04","416.81","468.10","486.47","466.35","520.42","614.77","728.36","690.88","529.43","526.60","426.64","568.53","560.79","647.16","566.47","423.55","569.81","681.00"
"Austria","","","","","","","","","","","","","","","","","","","","","","","",""
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgaria","","","","","","","","","","","","","","","","","","","","","","","",""
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","","","","","","","","","","","","","","","","","","","","","","","",""
"European Union (15)","","","","","","","","","","","","","","","","","","","","","","","",""
"European Union (28)","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","","","","","","","","","","","","","","","","","","","","","","","",""
"France","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","","","","","","","","","","","","","","","","","","","","","","","",""
"Iceland","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","","","","","","","","","","","","","","","","","","","","","","","",""
"Japan","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","","","","","","","","","","","","","","","","","","","","","","","",""
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","","","","","","","","","","","","","","","","","","","","","","","",""
"New Zealand","0.95","0.95","1.12","0.83","0.82","0.58","0.37","0.48","0.44","0.23","0.20","0.36","0.27","0.32","0.29","0.27","0.34","0.41","0.63","0.49","0.18","0.27","0.26","0.19"
"Norway","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","","","","","","","","","","","","","","","","","","","","","","","",""
"Romania","","","","","","","","","","","","","","","","","","","","","","","",""
"Russian Federation","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","","","","","","","","","","","","","","","","","","","","","","","",""
"Sweden","","","","","","","","","","","","","","","","","","","","","","","",""
"Switzerland","","","","","","","","","","","","","","","","","","","","","","","",""
"Turkey","","","","","","","","","","","","","","","","","","","","","","","",""
"Ukraine","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom of Great Britain and Northern Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"United States of America","","","","","","","","","","","","","","","","","","","","","","","",""
